ResponseID,likelihood to recommend,reasons for score
R_87A7Qe3hXlb8MGV,7,"""Expenses. We don't use surveys so often, so paying a yearly fee has no sense for us."""
R_8e4k4HoRmfYWeAR,10,excellent support and all what you i need it can be done from you
R_dbB7vyOeS92uMRf,10,Inexpensive student accounts.  Ease of administration.  Quality of product.  Support
R_cGtNi7fDNas0tPD,8,The constant sales pitches
R_73YdNyVCd5wMqrz,8,generally happy with the system but had some problems crop up. sometimes very basic things that are frustrating and an on going problem like the font size not changing in the look and feel section of the survey. The support have not always been great at replying to queries in GMT work hours either which has caused delays in turn out projects for clients.
R_0ApyPu1RBYYN5DT,7,
R_5j9wAGaFHlwCbQ1,8,I have not used Qualtrics for very long so I cannot give a full evaluation of the product. So far I've been mostly pleased with its features. There are a few annoyances here and there.
R_6Ka8Mm36NOrqLvn,9,Easy to use.
R_4Z8SYaItjFggfdP,7,sporadic email problems causing tension with client
R_0pIRLVOiREwyROl,8,"""It's the best out there.    But, it's incredibly expensive for academia.     And I will soon start using something like jotform (which is, virtually, free) next year, because I can't keep paying $500 every year."""
R_dg2ZBds3YACeJLL,9,The software is very efficient and flexable
R_1LnykLyKm4pjP1P,9,"""I find Qualtrics is very user friendly.  You offer a lot of great ways to ask questions and displaying results.  There are a few quirks that appear from time-to-time while working on the platform, but overall I really think Qualtrics is a great tool."""
R_1RgolD5Jxd7kGzz,10,Great Product
R_6gIS2fPGvikkkfz,10,The tool is great ... very easy to maneuver and get going without much guidance.
R_a61Ghia0da3n1bf,6,"""I felt the billing department played hard ball with me regarding the start of the survey period (when I inquired not when payment was made), payment had to route through the university and the billing department treated me like a past due client acting as a collection agency and harassing me.  Finally, I never had time to use the survey due to the various demands at work and I lost the subscription.  Qualtrics could see this and was inflexible.  Better customer service is greatly needed.  You have a quality product but substandard billing and customer services."""
R_3HINWB0GH1SiPNr,10,"""An easy to use, mostly intuitive, platform for building surveys that is flexible and powerful + simply outstanding customer service. You hire all the best people!"""
R_6fYZcHAa2iHpOu1,7,"""The survey tool is easy to use and support is very good. However, there have been several occasions when we have needed to find work arounds for issues. It feels like Qualtrics is quite young in terms of its development still (not a bad thing, just how it is)"""
R_0icVxU2DihGv7Dv,10,"""customer service, quality of service, actively listen to suggestions and input"""
R_3aPtcy1mUOHL5tz,9,The staff at Qualtrics is easy to work with and the online tools are easy to use
R_6tJfBBnkkTuEPaZ,10,"""I have had great experience with Qualtrics.  Qualtrics is affordable and easy to use.  Also, it seems that Qualitrics is committed to continual improvement and is always developing new and innovative ideas to make my life as a market researcher easier!"""
R_4V2Ohvhy7dSPyYZ,9,
R_1FcGSWUeFKlMqah,5,Scripting in the tool is very user friendly but we have had many issues that have stopped us being able to distribute the survey because we have not been informed about changes from Qualtrics side.
R_ahqL1OlVDPYN0S9,10,"""Qualtrics is really easy to use. Additionally, the surveys are absolutely BEAUTIFUL. I have seen Qualtrics used by multiple organizations outside my own, including League of Legends. Their survey was AMAZING. This one is too!!!"""
R_251nvjdtUMDlAup,5,The product is overpriced.
R_0P5TE6iTljZHd8V,8,"""great tool and options, might be pricey for smaller companies"""
R_dosCCH2YoUNIuRT,7,not the best reporting tool
R_emKPAlEJfuzUhJr,9,
R_9ppzNKwAMiwPo2N,5,"""The software is good, especially the ability to collaborate. Some things are needlessly complex, such as simply asking a question that requires the respondant to type a numeric value, but most features are very well implemented. Qualtrics support, however, is the worst of the 30 vendors I deal with on a regular basis. We left multiple phone and email messages for SANITIZED around February 11. I even made an appointment to talk on the phone, but he did not call. When I tried to call him, I was told SANITIZED was on another call due to accidental double-booking, but he would get back to me. Not even that level of embarassment was enough to get SANITIZED to call. SANITIZED reported this to SANITIZED at the Qualtrics conference. He took notes and said someone would be in touch immediately. Nope. Since then SANITIZED emailed them both again, but STILL no response.  So we gave up and switched to SurveyGizmo for that problem. Their support is much more responsive. -SANITIZED, SANITIZED."""
R_byjh3BEqV1vgM3H,10,I think this company is innovative and dedicated to being the best in its field. This is so much more than a piece of software.
R_0PcPjkujL8Lbocl,10,#NAME?
R_3fKgvjCDWuOYyd7,10,"""Because I've already recommended. Therefore, it must be the case that I would."""
R_0d2zPPWgpbRmJ49,9,"""Easy set-up of surveys, good reporting of answers, but still it is missing to creat customized reports."""
R_dos4UHxxgpwOUex,9,For most creating surveys your tool has the ease of use and features needed.  Would have rated higher if we had less issues with panels.
R_0JvqZLRUDl16bBj,9,"""There is no other tool that I have found that has so many options, is easy to use and allows for multiple accounts within our institution."""
R_cUqIEzonjoQRetv,8,Easy to use
R_3F7A9y3idL49u5L,6,"""I like your tool no problem there.  But... / First, I am no longer a client of yours.   / Second, I send a few emails (SANITIZED) about 45 days ago to you guys to get more info about a possible ""entente"" with you guys, and I haven't got any news from you.  That's not tight."""
R_57wccVmi5p9esXX,9,"""Qualtrics is quite powerful, well documented and user friendly."""
R_3kMRDnw8sNsr85n,9,"""User friendly interface, great variety of visual resources, complete report and graphic analysis features."""
R_5cFjiegVQmvzJc1,8,Ease of use and ability to develop complex survey designs.
R_eUJ7XwApGMdlakd,9,"""Very good product, easy to use with almost all the functionality we need out of the box."""
R_6M6757l2pSOX4GN,10,
R_40i2zGdSIXnITaZ,8,"""Cloud based, flexible and simple to use"""
R_3OS3LIHrrBRgdiR,8,"""flexibility, technology, customer service"""
R_8e9OZSphmZTXpo9,4,
R_1YwMK4fcZLnveO9,8,Versitality of the tool
R_b4vT0271eE3NEsB,10,"""ease of use in terms of question-building, professional looking, high-quality product"""
R_6Ab1zYq0M4wYXrv,10,"""The platform itself, the professional services team and the account managers are all great."""
R_8eruQQs3UEeiXHf,1,
R_blwogg9rSpo4wHb,10,
R_1Y5cC4daHbYcau9,8,Cost is too high
R_3WURFtWGXwf3z8x,10,"""good customer service, good product"""
R_8eu9DHCvQrbQJ5r,10,You're the best of the few products I've used. I haven't run into anything I can't do on your platform.
R_4TS0wffcDGHYYAZ,8,"""Lots of great features. The collaboration isn't perfect, and on some of my surveys I can't do ""edit multiple"" and I really wish there was more ways to use excel to load choices."""
R_3OZqOQtmmDwwAsZ,6,"""We are using it for a very specific reason and we need both the survey and PDF report to be coded a certain way.  Some of the things we need are available and others are not due to how we are using the results.  I think Qualtrics is great for a simple survey sent to the masses to gather regular information.  It works just fine for how we've created it but there were a few hiccups along the way.  Also, when we first began, support would take 4-8 hours to call back to answer a question."""
R_80xm7MR0lQ39mlv,10,"""Qualtrics is one of the most robust survey tools on the market. It has its flaws, but it is hands down better than most of the survey tools I've used or reviewed."""
R_0VthMGv7t46VL6J,10,Great tool for creating surveys
R_87loEOuzaYNEP0p,10,Great tool in terms of capabilities (Research Suite and Site Intercept) / Easy to ramp up for simple stuff / Fantastic on-call support for the more difficult stuff / Makes me look good at my job -- what's not to love?
R_6rRoMQRzNuSyTgF,8,Support Team is always available to help and easy to talk to -- has 24 hours service! / Survey building functions are very user-friendly. / Has a clean layout
R_ba9NnPhulDxXqpD,10,Great customer service; prompt replies to questions; great product functionality; cost-effective
R_5sRHrkzODRAm7CR,10,Your organization is responsive and seems to be expanding capabilities
R_aWfuDWjZiXlOaDX,9,"""I'm very happy with the customer service and outreach, and I'm mostly satisfied with the suite itself, but I need stats testing. Ideally it would be a one-stop shop instead of having to export data to another program."""
R_9ZxIbfd9Nq9Iw05,10,"""I rated you this high for two main reasons, you're software is top notch and so is the customer service.  We couldn't be happier here at the SANITIZED with Qualtrics."""
R_aae9mnnh5WgOrk1,8,"""I think Qualtrics allows me to do most of the things I want to do and works pretty well. It it's fairly simple to use.  I love how you guys pick up the phone when I call with technical questions, but I do wish that sometimes people knew the answers to the questions, rather than figuring it out with me on the phone. I can noodle around myself and figure stuff out - the reason I'm calling is that I'm hoping not to waste time on that. But your support people are super nice and useful. And the fact that it's not a machine is awesome. 5 stars for that."""
R_3UjHxVszQQ982EJ,9,We are really happy with the software but the max diff options do not live up to expections
R_5iJEQMASoxVV6mx,8,easy to use and good reports
R_1FhartMvFPviuZT,8,8/10 because I like the end results of the appearance of the survey platform. / Not 10/10 because it is expensive for small volume users like myself.
R_3mdfkdBYpVr0rNr,3,"""Primarily, it's the lack of depth of knowledge @ tech support."""
R_bKt0mxlT0zAGZBX,5,"""it depends on the purpose of the survey. if the survey is an ESM survey (few times per day), than the qualtrics doe's not support a quick distribution and makes it difficult to rack the subject."""
R_6XtHxORO7sJla6N,8,"""Pros: support, features and ease of use / Cons: cost..."""
R_9to6XNaP8RRzETH,10,Functionality.
R_0V7zAG4Qky7UdHD,10,Because I do recommend you.
R_cYDqRxIMyLACBZH,10,
R_8qa3FNP757FSVDv,7,
R_9B0zjkrWYwqf3cp,10,"""Previously, I used a server-based survey system -- Sensus Web.  Recently, the University granted permission to use Qualtrics.  I could not be happier.  The ease of using Qualtrics has enhanced the productivity of my office."""
R_6XQsRkPRfR0nvwh,10,"""This is my first time working with survey software.  Although I'm not responsible for day-to-day surveying, it is very easy to use."""
R_bJWulmdUnU1Koa9,8,"""ease of use; suited most of our research needs, but there were limitations"""
R_4Pgz9IsMqGIWe3j,10,"""You're Awesome!  The product and services you provide have greatly destressed and improved the quality of work I'm able to produce.  And for that, I thank you!"""
R_diMYL8Y2IO4z90F,10,"""The use of a tool like qualtrics has revolutionized my product marketing organization.  We ground our messaging and positioning decisions on data, arm our product management team with insights for their product roadmap and have elevated the conversation throughout the organization to focus more on facts and not conjecture."""
R_1zaO96cho4VEcId,8,
R_abJWUuKYQRdvGCx,10,So easy to use....so many advanced features...and that 1-800 number that provides such excellent support!
R_0DNcUbLYKHfzI2h,7,"""While the features are attractive, I'm not sure the costs are justified."""
R_5zPkIgaVURLub4N,10,"""I have found qualtrics to be much easier to use than other survey tools, the options are more innovative, and the customer support is very good."""
R_8v2RvLWW6Z4v3Bb,10,"""Great customer service.  They are always there with an answer (or willingness to trouble shoot with  you), when you have a problem making something work.  Plus, it's a human being!   There are also good features that are relatively intuitive."""
R_3UlMfuwWSUx68nz,10,"""Product quality, service and support"""
R_8GlRYYVbv3eAsO9,8,Easy to set up surveys / Survey functionality is good / Easy to interpret resutls
R_723bAClcq17fhDD,9,With Qualtrics we can do everything!
R_2hLInwaZoJ7HBf7,9,"""Easy to use,  high performance"""
R_3WpfVWh6DmiV3o1,10,
R_6PhSJOO3ujxZXPD,7,"""When using qualtrics as part of a larger survey administration and analyses process, sorting responses, working with the raw data, and analyzing data (along with datasets from others platforms) can be very time consuming."""
R_bPhYZAKUjDM9OQZ,7,we are still learning on the program - but in general we are very happy with it.
R_bybFTruKnhACykB,10,"""Qualtrics has not only provided an agile, 21st century approach to surveying, but continues to look for ways to innovate and improve the user experience.  It's more than just the great survey platform that would drive me to recommend Qualtrics - it's the customer support, innovation, and unbridled passion I have encountered working with the Qualtrics staff."""
R_e3h4n794fH2isEB,9,"""Qualtrics is a great tool and provides valuable data to work from.  Occasionally when generating PDFs and Excel worksheets it fails - it's easy to run it again and get what you need, just a little time consuming."""
R_8dXVKyvCChUBrBr,7,
R_7QeaLCsgdBL2gLj,9,Great service. Great software and easy to use front end and design.
R_9vEjhmOMu64B0P3,9,"""Good logic, nicely formatted questions."""
R_0im9WmYWlRHfVTD,10,
R_4JdV4uUauMIN8m9,8,"""Easy to use, complete all in one solution, stability, user friendly"""
R_ctFJCFPDnx08ftj,7,Good product and provides great insights but has some flaws.
R_1ZgFz6RKhSsdaC1,9,"""The number one reason: your customer service. Every time I have needed help, I have received it. The application is also very easy to use, can do everything I want it to, and is constantly being improved."""
R_5h99Cz4xO8JFFVX,9,it is quick and easy to build surveys
R_6tiuMYgjHpKYCz3,10,I've found it highly compatible with my needs and appreciate the ongoing improvements.
R_4PAGtZHTq1Xq7T7,7,It is an advanced survey system.
R_3Deq8sqaDT8EUtL,8,"""Easy to use, intuitive. a lot of choices in question types, look and feel, ways of distributing etc"""
R_0jr7xmpNjfL0cfj,8,
R_6yeSYvbTC3c3UFv,4,Scripting is still to foreign and intimidating to rookie users when distributing
R_3Jbu9vD4Am9SYK1,8,Overall product is great to use there have been some issues.  Setting up reporting has been a challenge with data sources suddenly becoming unusable after working fine for several weeks.  Triggers work 99% of the time.  Needs to work 100% of the time.
R_8caO9ddMdxHGOJ7,7,"""I love the numerous options to set up and create surveys, hate the reporting, it's ugly and not functional. I can't wait for the updated reporting tools."""
R_3K33utYOn6Ynxnn,9,
R_8tOxbUBl7kto6KF,9,
R_d4IurVHFZZ4QwRv,10,"""The quality of the survey functionality (e.g., heat maps,hot spots) AND the included customer support services"""
R_5b8rTLZsdOAHiFn,8,good follow up service and quite a functional product
R_5u0HRuj5SgTQ8Gp,8,"""Would really like to have a 'Matrix Table' survey question type that allows for additional 'Statement' rows to be added by the respondee. For e.g., a Matrix Table survey question such as: ""Please provide a list of users in your department and check the box for the floors in the building where they require access?"""""
R_00dWFnucwvTAi21,7,"""good customer service, easy to use, wide range of question types"""
R_73en3cLIPUwcOkR,9,easy and cost effective.  Plus your help line is superb (although wait times are getting longer and longer)
R_9NZpnSfAmAxlnPn,9,Robust reporting and survey creation options
R_cC5ikoHpdc0M0mx,10,Ease of usability. Range of functions.
R_5gpsycHPSrIP6yp,8,"""Ease of use, logic and reporting capabilities, value for cost"""
R_4I4tAkviprOVwah,10,It is an excellent product. I am pleased with the security and the ability to maintain our own controls. It is easy to use.
R_a5xxGz8zXlZWdyB,10,Easy-to-use...I always describe Qualtrics as Survey Monkey on steroids.
R_8eTjPkCNA2LaSqN,10,very good website: easy to learn (intuitive!!!) + offers a lot of features; very good service
R_9RLMrezZiOEOYU5,10,"""Very intuitive software, easy to learn, very flexible, saves us a ton of money by allowing us to complete lots of surveys internally!"""
R_2rePqnYpD7T8IoB,8,good product
R_0GR97O8oiqEbEd7,7,qualtics is pretty user-friendly and accesible
R_0HZuytt0nG1ikst,8,"""Easy to use, great customer service. Good data analysis."""
R_8cbk21bccvZUKCp,8,ease of use / cost / availability
R_3rrQPkr77DUsBUh,9,"""User friendly, lots of options, flexibility, etc.  There are occassional quirks, though, that prevent me from giving it a full 10.  One time email invitations didn't go out for many hours after the tool said they were sent; the reporting (which I realize is in Beta) doesn't quite work the way we'd like it to and seems a bit buggy, etc."""
R_26ueM7O5FH2HTxP,8,"""Good / intuitive / feature rich survey tool, but not quite there in terms of panel management.  Most of our business requires both capabilities."""
R_cSh9G3GQF1b39dP,9,Intuitive platform to design and implement survey instruments
R_2smVtBGVSgiLKEB,7,"""Good questionnaire design but poor reporting functions (reporting Beta is still flaky). /  / Also, Qualtrics isn't able to be used for online communities as a discussion board."""
R_ehQhTHjlIaP1qux,8,The power of your 360 platform
R_ewDKACLwmvoLnSt,9,"""I have been extremely satisfied with the product since we began using it.  The customer service, ease of use, etc."""
R_6rJYGXzpjdAt7cV,9,1) excellent customer service / 2) quality of product / 3) release schedule - continuous improvements and upgrades
R_2tb1QaHrWMOpDdr,9,Ease of use and data output is clean
R_bKrZHMGVTLeFksB,2,
R_dnyM0lxc9isMWgJ,0,"""Just awful.  Had constant problems, had trouble getting a hold of anyone in customer service to help,  ended up finally talking to someone who was rude, unprofessional, and not knowledgeable."""
R_9AHIxzTfy2VMncx,7,satisfied but not totally loving it
R_5iECHbgOoQ2bTRX,9,"""Since implementing Qualtrics, our company has saved time an money.  This savings has also led to an increase in job satisfaction for some of our employees."""
R_9NZuE6kcnu3WXVr,8,"""I think you guys are a very good resource but a bit pricey. Everyone who works there seems very friendly, which I like. They also seem to be a bit beyond their bandwidth at times. I like that you are always improving what is available."""
R_eeV1fvloqXw4WlT,10,Customer Service. SANITIZED and SANITIZED are both excellent! Also...love the ability to customize my own surveys and 360s. Make it very easy to use data to gain valuable insights that lead to strong decisions.
R_0BXU2h5YgeFImmp,9,The ease of use of site and responsiveness of support team
R_6X7d0xVQ09Sm3HL,8,"""Overall, I like the Qualtrics software, the ability to create surveys quickly either by copying or creating an original. The customer service has been very helpful. Previously, I have received support at the time of the call or immediately following the call. Lately, the few times I have called for support, there have been gaps in time of support with a projection that someone will call me the next day. Therefore, the rating was not at the highest level of the scale."""
R_a33a5r0iyfwobWt,10,"""Phone support is very valuable and every survey feature I need is ask about, is there."""
R_2l7xz1yph1x4TjL,7,"""Very good tool (360 degree-feedback) but not convenient for clients developing questionnaire in French first, before translating them into English."""
R_4UE6e0DibPOBMgZ,10,It is excellent for collecting data for research
R_3OZbJGGyQeRAn1H,9,Research is so much easier when you don't have to involve quant agencies
R_0VQMiF1AT1Iiwkd,10,Customer service
R_bw2A1MosfqrWzCl,8,"""Like Qualtrics, haven't used it lately"""
R_9M6TKa579ELoEYt,9,I've used the software for several years and it is fairly easy to use.
R_eQGzzC5GE9AV8A5,9,
R_72pseBkOx2xlSwR,10,"""I haven't used all the features yet (we just got Qualtrics at our institution a year or two ago), but I haven't yet found anything that I am disappointed by. In addition, it is my department paying for our institution's license, so the more users we have, the better!"""
R_01ZmliH5h4hEunr,10,Great DIY tool for research
R_2odnaif3Uo0j6Sx,9,ease of use. tutorials. layout.
R_1Zz8OEYGfrSOGCF,9,
R_ehyl9nFtyhpykmN,8,Friendly interface / Good help desk
R_9uDs3XrBl9utucZ,10,Ease of use; support and service; flexibility of survey options and reports.
R_dnUJgnFMrdoltQN,10,Great tool. Always making improvements.
R_8I0eDE8ilG2KNA9,9,"""I don't have any issues with Qualtrics.  It sometimes is slow, but for the most part I have no issues."""
R_38iP4PIH6CUf7V3,9,I think it's a great tool for the money.  It can do almost anything and is pretty user-friendly.
R_0IhakkBq3AKrAyx,10,
R_81FDxRMQAusaO33,9,We like it.
R_ba8ekhw5uHAKXEF,10,"""Easy to use, great customer service, excellent product.  All that, and you didn't forget the fancy stuff like APIs and collaboration."""
R_9FBHnF8z4hRSdFj,7,
R_bBdktrN4x6I7Sm1,9,ease of use
R_3yMRkjcww0uSZxj,10,Qualtrics is rising standard for survey construction in higher education.
R_4Uig0nKvIvdUlhj,9,
R_0Cdb17HEIScnP0x,7,I would recommend it but I don't know whether it's much better than other software--haven't used others
R_8cy99SdCpA1neER,10,
R_86r8na40zOIJjxj,9,
R_1MTlJ0HWwYQ8pud,7,
R_bmG0jHgq5KdDFel,10,I was the person in the Faculty who recommended Qaultrics and it has been well used ever since. We have also got great customer support - so I often recommend it.
R_9S3Ose8SeCmgHop,6,"""It's great always having access to a number to call for help, but there's usually a wait time.  More importantly, the techs don't always know the answers to my questions."""
R_bHHQQevLjPxz8hv,10,"""Your software is very intuitive, easy to use and comes with great, customizable features."""
R_dogUZKkizVxIVsV,9,
R_afaD8kO0dcyrQ5D,6,"""Customer service has been slow and we've had some major issues come up that haven't been overcome. Overall the product is great, I just wish it could be geared more towards surveyors that are looking to aggregate responses and display them against an individual response on the reporting. Reporting would be a great enhancement focus."""
R_0rcSchUgw7KGv8p,10,"""The robust design, user interface, and reporting funcationality of the system make it an excellent tool."""
R_eQCaxVQpbRhl0d7,8,"""Easy to use interface, strong customer service."""
R_cYBqc3kAb8RYZkV,10,"""always adding features, usually responsive to feedback, usually available over the phone (but that could be better when calling from Australia)"""
R_d0sWq7HrzzZOzY1,10,"""Qualtrics is very flexible and powerful, and yet you manage to have great customer support. I usually find a tradeoff in products between ""supports really amazing things"" and ""we will help you use them,"" but not with Qualtrics. Plus I never feel that I'm not important to Qualtrics."""
R_8e4kokr6lCxYFwx,10,"""Most of the time, the service from the sales team is extraordinary.  The tool itself is topnotch, best I've seen.  The panels team is fast, friendly, and a pure joy to work with."""
R_cBzlp2MdE8HX7rT,10,Great platform that allows us to do great research
R_8lhNSb103S6wMxn,10,Good overall UX desing.
R_bxX6c418SeVa3pr,10,"""Flexibility, quality, ease of use and excellent support throughout the process."""
R_0Htio0eVAtAN7TL,8,"""Great on-boarding and support services.  System is great and able to handle complex surveys.  However, reporting features (specifically excel outputs) could be improved compared to other survey services that I have used."""
R_6Kkk70MqfJa7ry5,10,
R_cXYrwwMGalb4RRr,8,"""Easy to work with, powerful."""
R_9HmLFGx0DZwgmC9,7,
R_6ooG1vaL4ViZyBv,9,
R_8AgkH94WyTXdCzX,10,"""Best-in-class survey software, excellent support, and we have a great relationship with you."""
R_1GDUkdQISOzqYjb,9,
R_bvAECwLp9XlWFrD,10,"""Sou professor de EstatÃ_stica, utilizo como ferramenta pedagÃ_gica e nunca me decepcionou."""
R_3wK3UTao9zSTuG9,10,"""Capabilities, customer support, and constant improvements"""
R_5cjDsxrluGZJAqN,7,Good functionality basic surveys / Good helpdesk / Poor for advanced surveys like conjoint
R_2noNj6bBmUzVheB,3,The service is too expensive -- while Qualtrics has some nice features there are other survey interfaces out there that have  nice features and cost much less.  An added bonus -- their customer service is instantaneous while we've experienced some 48 hour waits on Qualtrics responses and have really had to fight for some fixes.
R_2mM4n0I5wjuLINv,9,"""Ease of use, speed of getting surveys live, readily available support and training, friendly and helpful employees, frequent product updates to grow and improve the functionality"""
R_1XOcJZJN6nL3BQh,8,Ease of use and the power of the system
R_6fW6MQRpOn5Rbdr,9,
R_cSec45nTwKWrERT,9,"""Easy to use, comprehensive programming capabilities and really helpful support"""
R_3wslk5xkSp6zU2N,8,I like Qualtrics but there is more to be improved on the ability to customize questions and the offline app needs a lot more improvement
R_0lKbIZgLOztSmpf,10,Simple product to use and learn. Innovative and constantly being used.
R_87dTolDOOQWRUCF,5,"""Its is very cumbersome system. the interface is not as user friendly as survey monkey. it does give more but is more difficult to sue in a pinch. Also, even though you claim that we can use this for smart phones many of your templates do not transform well into that medium."""
R_bdUSXTw5tZNt5EF,10,Works great.  Easy to use.
R_3wqpyC2NCpnVON7,7,No strong feelings
R_50B5iQMxv6vernT,7,"""Ease of use in creating survey, it would be higher but surveys aren't a super exciting topic"""
R_9ZCV41EQmh2WB81,10,"""Qualtrics is easy to use, provides excellent tech support, always  is looking for ways to improve its capacities, and provides a very good environment for the customer."""
R_4G7NVWjvG2TPMfX,9,"""Ease of use, ease of training others. Flexibility with formatting surveys, recording data and reporting results. I LOVE the system. I don't quite consider it a 10 because there are still some issues (that may be more related to my newness of the system than a system problem) that I find while navigating. The customization of the surveys I feel could be better - but it is still a world above SurveyMonkey."""
R_6hV5lA87l9QOsyV,2,"""A few reasons: /  / Slow site: / Slow (sluggish) website. Our internet connection is high speed but we are always waiting far longer for qualtrics page loads compared to most other website. /  / Bugs: / Your site is buggy on many pages and cross-browser compatibility is poor.  /  / Downloading batch CSV: / This has to be the worst case of ""this site is built by programmers who have their own interests at heart rather than the customers'"". We spend hours downloading individual CSV's (over 300 csv's, 3 times a year). To download this information takes us approx 20 hours of work. I have requested a simple batch download in a zip folder but this appears to be too hard for Qualtrics. /  / I don't expect anything to come from this as my previous attempts to get some sort of attention (even offering payment for any additional customisation) was met with contempt and ""we don't give a shit"" attitude. /  / You asked for the feedback. You got it. If you are going to do something about it, your first step is to get someone who cares and will make a difference to call me. /  / Feel free to contact me anytime: / +SANITIZED / +SANITIZED /  / SANITIZED"""
R_eFjH0VhDA2MdTTL,10,"""I have recommended Qualtrics to several colleagues. Technically, the system is reliable, broad set of tools, easy to learn, and when there is an issue, techincal support can answer in a day."""
R_0B7L91rNrtNdz9P,10,The question types that you offer.
R_bJ8KGlhIk4NHasd,7,Easy to use
R_6yf0lK5rQudxslD,9,I find the tool extremely robust and it offers so many survey possibilities. Every survey I program I find something new I can do.
R_ahEznRTNwVTzlBP,6,
R_eUJnLWVle7JGdTf,8,
R_8jgb3SmCZXZZlFH,9,"""I like the functionality, the versatility, and Salesforce integration."""
R_4SprDmxMfc5g60d,9,It's a great tool. Thank you.
R_265BBFcvOR1FaRf,9,"""Excellent customer service and tech support, very versitile software, very flexible software, features developed with academics in mind, ease of programming, complex functions that are easy to use."""
R_3a3kUbzY62FAwsZ,10,"""The comprehensive survey options, ease of use. I just love it!"""
R_0jFv8U2dW4JEmwd,4,"""We are charged a ridiculous amount for the ability to screen out respondents.  We have had an error message that no one can seem to get rid of and no one can assure us that respondents aren't impacted.  During a recent demo of confirmit, an analyst on my team said, ""I feel like we've had blinders on using Qualtrics."""""
R_cvwF5SQglJQNrLf,8,"""Flexible, comprehensive set of tools easily used."""
R_b1lYvmiDg3FuFMN,10,The software is fantastic and the support is great as well
R_6sWUIr92rAdYNpP,9,Friendly platform. Very easy to learn how to use it.
R_0IkhSizuFZxOO5n,8,It is easy to use and has lots of good question options.
R_est7lNyoz9Z12QJ,10,Quality of the product; professional and knowledable support staff
R_8FZWArV2unfAtKJ,9,Service and innovations
R_eQiY7An4xB4dSbX,10,easy to use for both survey taker and survey builder
R_50FwgZQvIo4fDOR,10,"""Your service is easy to use, and high quality, and your customer service is top notch."""
R_3agkguESGRCd8Kp,10,The software does everything we need. Good customer service in answering questions we have from time-to-time.
R_02pX951h5RB81Jr,8,"""Qualtrics is easy to use, provides excellent options for survey construction, there is great technical support and a preparedness to work with us and help us to achieve our goals"""
R_5pElSnk6tcxAxx3,9,Not much else on the market comes close to the produce you offer
R_6hTsywG81TnZEI5,7,"""The technology is great BUT the training is lacking, especially in relation to some of the more intricate reporting functionality.  Despite calls to support I remain unclear on some of the aspects of the reporting (as was the training person!).  Great price point though and good functionality if you can get it to work."""
R_25mCLK7W7tp97Qp,9,great product that is user friendly
R_3Wd5xgv8rGXIPDD,10,"Flexibility. Qualtrics surveys can be ""tweaked"" to do much more than just the traditional survey. I have found no other survey tool that has this sort of flexibilty in use."
R_6YCLKXpQGiFNUt7,8,Lots of capabilities in the product. Fairly good support.
R_78QDTFtPmHWbdS5,9,I like the software and the customer service.
R_8DkPkYdwaNDbUk5,10,"""Good, easy to use service."""
R_5isUuwIalGLfCO9,8,Qualtrics is easy to setup and get the results
R_3dP9fKvARXwXpnT,10,Strong research focus.  Continuous release of enhancements.  Listen to your customers.  Cost effective solution.
R_5AA2cjpIBGiCrk1,10,"""Your survey tool is awesome. By far, the easiest to use, yet incredibly robust. The beginner can learn it quickly and the advanced person can get as complicated as they need to."""
R_1Fvc5nrqOW8pYlT,10,Excellent service. Functional and cool looking product. All for a good price.
R_bIBslbkpJADQyrj,8,Easy to use platform that can be learned quickly. company seems to always be innovating and adding features.
R_8d28rgDSo2MgeMt,6,Great survey building platform. Some bugs.
R_0VW0AVjsOpnDzJH,9,"""Love the interface, very easy to use for most standard surveys. Didn't give 10/10 as the survey email invite platform seems to often send our invites to spam folders..."""
R_79yt0dN3fo36JGl,10,flexibility
R_6FiaIOuMxqD7MtT,10,Great support and great product. Very customer-centric.
R_6fWFCifrbvpWY4J,5,"""The thing I loved most about Qualtrics was the support--there was always someone there when I needed them for the first 3  years of our relationship.  Now things are different.  I have to leave a message and I sometimes don't hear from someone for 2-3 days.  By that time, my need has passed and I've had to either spend precious time figuring it out myself or given up and compromised the quality of my work for my clients. Qualtrics used to be a valued partner and support I could depend on, but it seems recently the emphasis has been on products vs. service and probably on larger, enterprise clients. I'm not sure Qualtrics still meets my needs."""
R_1NSCUQ6e5mbfYTX,9,"""Pricing, customer service and functionality."""
R_6JuHJHnCI7Km5s9,6,Still learning about tool and company.
R_0Spi9BCUShPQA2V,10,Great tool.  User friendly. Great reports.
R_eJKSstgt8XkdXGB,6,"""Good support and solid overall product, but limited on some programming functionality.  Inability to use third party links and other problems with Target Audience."""
R_a5KugYbS7aMeNyB,5,
R_3fSk577u6j02nUV,8,"""There have been a few times where we were promised trainings to be scheduled but nothing ever came of it. We've also run into a few features that are a real pain to have to work around, mainly the crosstab functionality or lack there of and the coded values magically changing on a number of questions on our firm's biggest and most important study of the year."""
R_eCIh8BJ8O7xizDn,8,
R_ePflYcVngQ990wJ,10,Excellent service and assistance. Excellent software. Very reasonably priced. Good access to large samples.
R_9MOvPNf2RQ3QpmJ,8,
